Sentence,Word,Lemma,Original PoS,Synonym_1,Synonym_2,Synonym_3
ضغط الدم و عدد نبضات القلب من المؤشرات الحيوية المهمة لتشخيص الحالات الطبية ,المؤشرات ,أشر,noun, العلامات, القياسات,البيانات 
ان توافق الأنسجة بين المتبرع والمريض في عملية زراعة الأعضاء,توافق ,وفق,noun,تناسب,تجانس,تطابق
يستخدم المضاد الحيوي لعلاج الالتهابات البكتيرية المزمنة,المضاد ,ضدد,noun,المثبط,الدواء,العقار
تطور المهارات الطبية هو نتيجة للخبرة والتدريب المكتسب بمرور الوقت,المكتسب ,كسب,adj,المتحصِّل,المتراكم,المأخوذ
يجب تثبيت الطرف المكسور بعد عملية الكسر لتسهيل عملية التئام العظام,الطرف ,طرف,noun,الجزء,العضو,الجانب
من اعراض فايروس كورونا ضيق التنفس,ضيق ,ضيق,noun,صعوبة, عسر, ضعف
عند بدأ الولادة يحدث عبور مشيمي,عبور ,عبر,noun,مرور,خروج,انتقال
تستخدم التكنولوجيا الحديثة لتعديل النموذج الوراثي للكائنات الحية بهدف تحسين أداءها أو علاج أمراضها,النموذج ,نمذج,noun,النمط,الشكل, الطراز
استخدام العلاج الفعال للقولون يساعد في تقليل الأعراض وتحسين حالة المرضى,الفعال ,فعل,adj,الجيد,الناجح,المؤثر
يستخدم حبس النفس كإجراء طبي طارئ للتحكم في نزيف الدماغ,حبس ,حبس,noun,احتباس,قطع, وقف 
تعتبر كبت الأيض ظاهرة فسيولوجية تؤثر على عملية التمثيل الغذائي للجسم.,كبت ,كبت,noun,تثبيط,اضطراب,تباطؤ
ان المراقبة سريرية لها تأثير كبير على الصحة  وتستخدم باتخاذ القرارات حول السياسة الصحية والتثقيف الصحي,المراقبة ,رقب,noun, المتابعة,الملاحظة,الاشراف
بعض حالات اضطراب النظم القلبي قد تسبب مؤشرات وأعراض مزعجة، وأحيانًا ما تهدد حتى الحياة.,اضطراب ,ضرب,noun,اختلال ,اعتلال,خلل
سحب عينات لـ 1400 مستضاف لإنهاء حجرهم الصحي خلال أيام,سحب ,سحب,noun,اخذ, جمع,استخراج
اكتشاف جديد يتيح التحكم بالألم المزمن في الرأس,التحكم ,حكم,noun, السيطرة, ضبط ,إدارة 
تطور الجنين في رحم الأم يشمل مراحل مختلفة من تكوين الأعضاء والأنظمة الحيوية,تطور ,طور,noun,نمو,تكون, تشكل
الطب هو العلم والممارسة الطبية التي تهدف إلى معالجة الأمراض وتحسين الحالة الصحية للأفراد,معالجة ,علج,noun, مداواه,مكافحة,علاج
 تتسم حدية المزاج التي تظهر لدى الأطفال المصابين باضطراب تقلبات المزاج التخريبية بأنها غير عرضية,حدية ,حدد,noun,اضطراب ,عصبية, سلبية
ينقل العصب الوارد الإشارات العصبية من الجهاز العصبي الطرفي إلى الجهاز العصبي المركزي,الوارد ,ورد,adj,الناقل,التوصيلي,الحسي
تعد عملية دمج الفقرات من جراحات العامود الفقري الشائعة، ويتم فيها دمج فقرتين أو أكثر معا لتثبيتهم ومنعهم من الحركة,دمج ,دمج,noun,ربط,التحام,تثبيت
يجب يتناول الاطعمة الخالية الاملاح لتجنب ارتفاع في الضغط ,الخالية ,خلو,adj,منزوعة,بدون , غير 
تتأثر سرعة انتقال جهد الفعالية بدرجة الحرارة وقطر المحور العصبي,انتقال ,نقل,noun, انتشار,تدفق , حركة
يتفاوت معدل انخفاض ضغط الدم من شخص لآخر، فما يُعد منخفضًا لأحد الأشخاص يعتبر طبيعيًا لشخص آخر,انخفاض ,خفض,noun,هبوط, نقصان, تراجع
عمل ورشات عمل طبية لترشيد استهلاك المضادات في المستشفيات والمراكز الطبية والعيادات الخاصة.,استهلاك ,هلك,noun,استعمال,تناول,استخدام
هناك أنواع من الالتهاب الوعائي حاد ويسبب تلف في الأعضاء الأساسية,تلف ,تلف,noun,ضرر, تدمير, تخريب
 ان قلة الخلايا اللمفاوية  قد تتسبب فى التهابات غير عادية أو مستمرة أو متكررة ,قلة ,قلل,noun,نقص,ندرة,قليل
لكي تكون مؤهل للتبرع بالكبد كمتبرع بالكبد ، يجب أن تتطابق فصيلة دم المتبرع مع المريض.,مؤهل ,أهل,adj,متوافق, مناسب, ملائم
