Sentence,Word,Meaning,Source
"في مثل هذه الأيام يقوم المزارعون في منطقة عسير بحصاد مزارع القمح بعد نضوجها في السنابل ويباسها , ورغم توفر الآلات الحديثة لحصاد البر، لكن هناك عددا محدودا في مركز بللسمر لا يزال يحافظ على الحصاد بالطريقة التقليدية القديمة وتحديدا باستخدام الثيران، ورغم المشقة في ذلك، ولكن هؤلاء المزارعون يعتقدون أن الطريقة القديمة هي الأفضل خصوصا من حيث الجودة",بر,حب القمح,alriyadh
حينما تبحث عن احسن دواء للبرد والانفلونزا، سيكون الغرض الأساسي هو تخفيف الحمى والألم,برد,نزلة تصيب أغشية الجهاز التنفسي المخاطية.,Altibbi
من أجل حماية الطفل من برد الشتاء يجب الحرص على القيام بتدفئة الغرفة التي يتم وضعه بداخلها، حيث ينصح باستخدام أنابيب التدفئة المركزية، أو المكيفات ذات الهواء الساخن، لتدفئة الغرفة، لأنهما يعتبران أكثر وسائل التدفئة أماناً وخصوصاً في الليل.,برد,انخفاض الحرارة أو انعدامها,Altibbi
لا تجرّب حيلة TikTok لبرد الأسنان بمبرد الأظافر.. أطباء الأسنان يحذرون,برد,حكَّه بالمبرد لتسويته أو تشكيله,arabic post
عاش طلاب الدكتوراة خلال هذه المبادرة وسط المزارعين، الذين يضطرون كثيرًا إلى مواجهة الأمطار الغزيرة، والبَرَد، والصقيع، والرياح العاتية، والفيضانات، مستعينين بالقليل من الموارد؛ لتعويض الخسائر.,برد,ماء جامد ينزل من السحاب قطعا صغيرة نصف شفافة,Reverso Dictionary
"وقال الصحافي في ""تاب""، منير السويسي، لوكالة ""رويترز""، إن ""هذا التعيين يدل على رغبة جامحة في وضع اليد على الوكالة وجعلها بوق دعاية حكومية وحزبية، وهذا لن يحصل، ولن نقبل بتعيين من دون معايير شفافة تضمن استقلالية الوكالة"". وأضاف أن أكثر من 150 صحافياً وموظفاً وقّعوا على عريضة ترفض هذا التعيين.",تاب,اختصار يعبر عن: وكالة تونس أفريقيا للأنباء.,alaraby
تاب الشاعر العباسيّ عن شعر يستحلي الفخار ويدكّ شرف أسلاف خصومه، عن شعر يتكسّب به المترزّقون على أبواب السلاطين، عن شعرٍ –ربما- أحلاه أكذبه.,تاب,رجع إلى ربه مستغفرا، تاركا المعصية، نادما على ما صدر منه.,aljazeera
فالفرق واضح بين معصية آدم ومعصية إبليس، لذلك كان مصير إبليس الطرد واللعنة والخلود في النار، وأما آدم عليه السلام، فقد تاب الله عليه وغفر له واجتباه واصطفاه؛ لأنه ندم وشعر بالذنب واعترف بالظلم والخطأ والتجأ إلى التوبة والاستغفار، ومعه أُمنا حواء، ولم يبق للعصيان أثر بعد توبة آدم وزوجه، فقد تم قبولهما وتمَّ اصطفائهما، وقد ترتقي النفس وتسمو بعد المعصية إلى درجة أعلى منها قبل المعصية بسبب التوبة والتضرع والاستغفار والإقبال على ما يُرضي الله عز وجل.,تاب,غفر له ذنبه، ووفقه إلى طاعته‏.,aljazeera
"توعّد نائب رئيس المكتب السياسي لحركة ""حماس"" صالح العاروري، الخميس 26 يناير/كانون الثاني 2023، إسرائيل بـ""دفع ثمن المجزرة التي ارتكبتها في مخيم جنين شمالي الضفة الغربية""، مشدداً على أن ""رد المقاومة لن يتأخر"".",تاخر,أبطأ وتوانى.,arabic post
كشفت دراسة مهمة أن واحدا من كل أربعة مرضى بالسرطان في بريطانيا يعانون من تأخر في التشخيص، مما قد يكلفهم حياتهم.,تاخر,إبطاء وتوانٍ,aljazeera
لقد أقامت العديد من السيدات اللبنانيات جمعية؛ ليتم من خلالها عملية تشجيع الأشغال الحرفية، فقد فتحت هذه الجمعية مكان مخصص لعرض المصنوعات اليدوية في أدنى بداية البرلمان في بيروت، وإنّ تأخر الصناعات الحرفية واختفاء الصناعات القديمة جاء بعده تطور كبير في الصناعات الحديثة.,تاخر,تَخَلُّف‏ وتدهْوُر.,e3arabi
ولكن تفعيل دور المواطن يتخطى هذه المقاربة لتشمل عقد المؤسسات الأمنية جلسات توعية مع المواطنين على مستوى الأحياء والمربعات السكنية من أجل تعليمهم كيفية التعامل مع الحادث الإرهابي، سواء فيما يتعلق بالمشاركة في مساعدة المصابين خاصة في حال تأخر وصول سيارات الإسعاف، أو فيما يخص التعامل مع الموقف بعد وقوع العمل الإرهابي.,تاخر,"الوصول بعد فوات الأوان, بعد الموعد المحدد",acpss ahram
لم يكن إلفيس فرانسوا يعتقد أن رحلته في البحر الكاريبي كانت ستنتهي بنجاته بعد أن تاه قاربه وبقي في عرض البحر 24 يوما بمفرده.,تاه,ضل طريقه,aljazeera
"وصف اليهودي بالحلزون الذي يظل حلزوناً حتى بعد ما يسقط من محارته.. اعتز بيهوديته وأعتبرها المرجعية القومية لديه.. ثم رفض رئاسة الدولة الصهيونية وعمل على إيجاد حل للمشكلة العربية اليهودية! أنه عبقري الفيزياء الذي تاه في دهاليز اللعبة السياسية.. ""ألبرت أينشتاين""",تاه,تحير واضطرب عقله,aljazeera
هناك من ينتظر أي فرصة ليمارس كبره على غيره، وإن لم يجد تاه في مشيته وكلامه..,تاه,تكبر,lexicon.alsharekh
الحكومة الصينية قامت على الفور بإرسال 2000 خيمة و 3000 تخت قابل للطوي، و 3000 معطف للمنطقة المنكوبة.,تخت,سرير‏ يوضع عليه الفراش,arabia weather
وأضاف: «قمت فى السنوات الماضية بإرسال العديد من المكاتبات للمديرية لشراء تخت ومقاعد وللأسف لم يردنا شىء فاضطررنا لحل المشكلة بالجهود الذاتية، وحاليا الامتحانات شغالة والطلاب والطالبات يؤدون الامتحان بسهولة ويسر، حيث يوجد بالمدرسة ٣٤٠٠ طالب وطالبة».,تخت,جمع كلمة (تَخْتَة)، مقعد خشبي يجلس عليه التلميذ.,almasry alyoum
أنا مهتمة بأن أؤدي التخت الشرقي بآلاته القانون والناي لست مهتمة بعدد من يسمعني مثلما أنا مهتمة بأن هذا يجب أن يبقى هذه هويتنا وليس ما يطفو على السطح من موضة الفيديو كليب حتى الأوروبي لا يريد أن يسمع منا ما يرسله إلينا لأن هذا لا يفيده في التعرف علينا,تخت,مجموعة الموسيقيين والمغنيين، يؤدون عملا فنيا مشتركا من غناء أو عزف أو نحو ذلك,aljazeera
أعتقد أن ذلك أخافهم، إذ وجدوا أن وطنهم لم يعد كما تركوه,ترك,غادر,bbc arabia
زهاء 400 شخص لا يزالون في منطقة الفيضانات في أقاصي شرق روسيا ويرفضون ترك منازلهم…,ترك,المكانِ ونحوه: مغادرته,lexicon.alsharekh
يجب على الأم أن تجد الشخص المناسب للاعتناء بالطفل في هذه المرحلة العمرية الصغيرة، سواء أحد الأشخاص المقربون أو إرساله إلى الحضانة، وهذا أمر شديد الصعوبة لأن الأم تحتاج إلى ترك الطفل مع شخص تثق فيه بأنه سيعتني جيداً بالطفل.,ترك,ابقاهُ‌، خلّاه,Altibbi
أضفي الدستور مرونة علي طبيعة وماهية النظام الاقتصادى وترك الباب مفتوحا أمام الشعب للاستفادة من كل التجارب الاقتصادية,ترك,جعل الفرصة متاحة له,lexicon.alsharekh
إن فعل القراءة في هذه الحالة لا يمكن أن يتحقق لأنه مرتبط بنصوص لا تترك أي أثر جمالي,ترك,أثَّر فيه وأضفى عليه من شخصيته,lexicon.alsharekh
"وتقول المراسلة إن بوتين ترك للرئيس الشيشاني المستبد رمضان قديروف الحبل على الغارب ليفعل ما يحلو له في الشيشان، فأصبحت صورة الرجلين حاضرة في كل مكان حتى في مداخل المدارس، كما أطلق اسماهما على شريانين رئيسيين يعجان بالمحلات والمطاعم في غروزني، بيد أن بعض الشيشانيين -كما هي حال الضابط المتقاعد عبد الله- يحز في أنفسهم هذا التقارب، في الوقت الذي لم تعتذر فيه موسكو عما سببته للشيشانيين من مآس؛ وهو ما دفع عبد الله للقول خفية: ""الله يعلم أني في قرارة نفسي أتمنى لكييف أن تنتصر"".",ترك,جعل له حرية الاختيار والتصرف في الأمور.,aljazeera
حصل الترك على العلوم من العرب، وعلى العقيدة والشريعة الإسلامية,ترك,شعب أوروآسيوي يقيم في شمال ووسط وغرب أوراسيا.,lexicon.alsharekh
"كرت هيئة المسح الجيولوجي الأميركية أن بركان ""ماونا لوا""، أكبر بركان في العالم ثار صباح الإثنين بالتوقيت الشرقي للولايات المتحدة، لأول مرة منذ نحو 4 عقود.",ثار,قذف حممه والمواد المنصهرة من داخله.,arabia weather
"""260 ألف (أغضبني) لأستاذ جامعي واحد"".. لماذا ثار كل هذا العدد من الناس ضد شخص لا يعرفونه؟",ثار,غضب غضبا شديدا,aljazeera
وقد ثار المصري القديم لأسباب عديدة وأغراض متنوعة؛ منها أسباب اقتصادية وحوادث اجتماعية وخلافات دينية وعقائدية، لكن بالتأكيد كانت أصعبها وأشدها أثرا هي الثورات التي حدثت لأسباب سياسية، فقد قوبل خلالها الثوار -كما قوبلوا في كل الأزمان- بأعتى أنواع التنكيل والانتقام .. ولكن كان النصر في النهاية حليفهم.,ثار,تمرد عليه وأعلن العصيان.,aljazeera
قد يبدو الرقم غريبا فيما يتعلق بحجم قوات الأمن، لكن الحادثة التي تسببت في ذلك ربما تكون أكثر غرابة، حيث لم يتوقع أحد أن يسقط 17 مواطنا بين قتيل وجريح بسبب خصومة ترتبط بأعمال الثأر والانتقام التي طالما عانى منها الصعيد قديما، ويأمل البعض أن يكون الحال قد تغير مثلما تغيرت أشياء كثيرة.,ثار,انتقام، واقتصاص,aljazeera
أما عن سبب انفجار الخزان، فقد كان هناك الكثير من التكهنات في ذلك الوقت بأن الخزان ربما تم تفجيرها بفعل فاعل، ولكن في نهاية المطاف، وبعد ست سنوات من التحقيق في ذلك الوقت ، أشار أحد الخبراء العديدين الذين أدلوا بشهاداتهم في القضية إلى أن جدران الخزان كانت أرق من المطلوبة واستخدمت مسامير أقل مما كان يفترض استخدامه، وتم ثقب معدن الخزان بطريقة خلقت قدرا كبيرا من الضغط على فتحة البرشام.,ثقب,خَرْم، خَرْق,arabia weather
يمثل الثقب بين الأذينين (الفتحة في الجدار بين الأذينين) حوالي 13% من مجموع العيوب الخلقية التي تصيب القلب، مع العلم أن معدل العيوب الخلقية 1% بين الأطفال المواليد.,ثقب,خرق نافذ من جانب إلى آخر.,Altibbi
من الممكن علاج ثقب الأسنان في المنزل بكل سهولة بواسطة العديد من المواد الطبيعية، ولكن في حالة الاستمرار على تلك المواد وعدم ملاحظة أي تحسن فلابد من أخذ رأي الطبيب,ثقب,تسوس الأسنان,learn dental care
وصيدت سمكة التونة في أوما على الطرف الشمالي لجزيرة هونشو كبرى جزر اليابان والتي تعد واحدة من أفضل مناطق صيد أسماك التونة في البلاد، ويعتبر مزاد بيعها ثاني أعلى ثمن يُدفع مقابل سمكة تونة في اليابان منذ أن بدأت السلطات تسجيل الأرقام القياسية عام 1999.,ثمن,قيمة الشيء وسعرُه,aljazeera
ثمن نائب رئيس الوزراء ووزير الإدارة المحلية توفيق كريشان جهود رؤساء البلديات، ومجالس الخدمات المشتركة ومدراء الشؤون البلدية وفرق الطوارئ وكافة الكوادر العاملة في الميدان.,ثمن,سَعَّرَها، قَدَّرَ قيمتها.,arabia weather
كما يجب مراعاة اختلاف نسبة الكربوهيدرات في الحصة الواحدة من الفاكهة باختلاف نوعها، على سبيل التوضيح، تحتوي جميع حصص الفواكه التالية على الرغم من اختلاف حجم الحصة فيما بينها على 15 جرام من الكربوهيدرات: [1] نصف تفاحة متوسطة الحجم، نصف موزة متوسطة الحجم، كوب واحد من التوت الأسود أو توت الأرض الشوكي، ثلاثة أرباع كوب من التوت الأزرق، ربع كوب من الفراولة، كوب واحد من مكعبات البطيخ، ثمن كوب من الزبيب.,ثمن,الجزء الواحد من الثُّمْنُ ثمانية. والجمع : أثمانٌ.,Altibbi
توعد الحرس الثوري الإيراني، الأحد 2 أبريل/نيسان 2023، بالرد على إسرائيل إثر مقتل أحد ضباطه في سوريا بقصف إسرائيلي على ضواحي العاصمة السورية دمشق، الجمعة، مؤكداً أن جرائم إسرائيل لن تمر دون رد وستدفع ثمنها، في حين لمح رئيس الوزراء الإسرائيلي إلى مسؤوليته عن القصف.,ثمن,العواقب أو الجزاء الذي سيتم دفعه,
"خلال هذه الفترة، أنهي ""مورو"" حوالي 300 كيلومتر بعيداً عن خط السباق، وفقد 18 كيلوغراماً من وزنه. دخل نفس السباق بعدها بـ4 سنوات وفشل مرة أخرى في إكماله، هذه المرة لأنه ثنى أصبعه ! ",ثنى,طواه،  رد بعضه على بعض,arabia weather
قد دعاه بالمغفرة، وابتدأ بنفسه أولاً، ثم ثنى بوالديه، وثلث بالمؤمنين الذين يؤمنون بالله واليوم الآخر، سواء أكانوا من ذريته أم كانوا من غيرهم، فهو دعاء لعامة المؤمنين.,ثنى,ذكره بعد أمر جاء قبله.,aljazeera
"وقد ثنى على تحذير كبير المفاوضين الإيرانيين علي لاريجاني قائلا إنهم ""إذا استمروا (الولايات المتحدة وحلفاؤها) في طريقهم فسنواصل طريقنا"", مشددا على أن بلاده لن تتنازل عن أنشطة البحث, وأن إحالتها لمجلس الأمن لا يثنيها عن برنامجها النووي.",ثنى,زادَ في شيءٍ وأضاف إليه,aljazeera
إذا كنت تشعر بالملل خلال المشي بمفردك، اجعل المشي ممتعًا واطلب من جارك أو صديقك أو أحد أفراد عائلتك أن ينضم إليك. أو فكر في الانضمام إلى ناد أو مجموعة مشي.,جار,مَن يجاورك في المسكن,Shifaa
"وأكد مصدر لـ ""المملكة""، الأربعاء، عن شهادات تشير إلى وجود أكثر من 10 أشخاص تحت أنقاض المبنى، والبحث جار لإنقاذهم.",جار,متحقِّق، و مستمرّ,arabia weather
إذا جار الحاكم على الشعب، فليس عليهم السكوت، بل يجب عليهم الوقوف في وجه الظلم والتمرد على الحاكم الجائر.,جار,تعدَّى عليها وانتهكها او طَلَمَ، ومال عن الحقّ,gpt
استطاع الحصول على شهادة الدكتوراه في اختصاص الفيزياء النووية عام 1968م، من جامعة درسدن الألمانية، ولكنه لم يكتفي بشهادة واحدة حيث جد وأجتهد حتى نال شهادة دكتوراه ثانية في فلسفة الفيزياء من جامعة همبولت في برلين عام 1974م، وكتب في الصحف العلمية والمجلات الثقافية وأصدر عددا من الكتب.,جد,فعل الأمر من الفعل(جَدَّ) فلانٌ في الأمر: اجتهد فيه.,wikipedia
كان عصامياً قوي الايمان بربه تحلى بالصدق والأمانة وحسن الخلق والحزم والجد وكان رجلاً جاداً، عرف بعبقريته وقدرته دائماً على الإبداع والتطور كما عرف عنه التواضع وتعليم أبنائه وتوجيههم لمبادئ حسن الأخلاق والتمسك في امور دينهم بعيدا عن التطرف والغلو وقد اهتم الشيخ بالأعمال الخيرية,جد,اجتهاد‏، واهتمام,wikipedia
وَأَنَّهُ تَعَالَىٰ جَدُّ رَبِّنَا مَا اتَّخَذَ صَاحِبَةً وَلَا وَلَدًا,جد,تعاظم ملك الله، وجلاله، وسلطانه.,Quraan
حكمَ الساسانيون إيران بعد سقوط الدولة الأشكانية، وامتد حكمهم من عام 226م إلى 652م. ترجع تسمية الساسانيين إلى جد الأسرة ساسان، الذي كان سادن معبد النار في اصطخر، إلا أن مؤسس الدولة الحقيقي هو أردشير، ابن ساسان، أو قيل حفيده. لقد استطاع أردشير بشخصيته الفذة إقامة دولة قوية، استعادت الإمبراطورية التي كان الفرس قد أضاعوها من أيديهم.,جد,أبو الأب أو أبو الأم.,alarabi
بعد تدريبات مكثفة لمدة ستة أشهر، جدلت قوة اللاعب الشاب وأصبحت أكثر إمكانية للفوز في المباريات.,جدل,قَوِيَ,gpt
مع انطلاق الألعاب الاولمبية دار جدل على مواقع التواصل الاجتماعي حول مشاركة المرأة السعودية في رياضات عدة. وظهر هاشتاغ #نساء_الاولمبياد_لايمثلوننا في 67.7 ألف تغريدة منذ الحفل الإفتتاحي. واستخدم بعض المغردين الهاشتاغ للتعبير عن رفضهم لمشاركة المرأة معتبرين أن ذلك لا يتوافق مع الاسلام.,جدل,نِقَاشٌ,bbc arabia
