Sentence,Word,Lemma,Original PoS,Synonym_1,Synonym_2,Synonym_3
عملت التكنولوجيا الحديثة على انتشار الخدمات المصرفية الالكترونية,انتشار ,نشر,noun, زيادة,توسع, توفير
يوجد العديد من العوامل التي تؤثر في أصل الأسهم في سوق المال,أصل ,أصل,noun,سعر, حجم,اساس 
توفرشركات التأمين غطاء ماليا قويا لعملائها لتأمينهم من المخاطر المحتملة,غطاء ,غطي,noun,تأمين, ضمان,-
يتأثر سوق الأوراق المالية بمقدار السيولة المتاحة فيها,السيولة ,سيل,noun,المال, النقود, التداول
 يعتبرالتحليل المالي جزءا هاما في عملية تقييم الأداء الاقتصادي للشركات,تقييم ,قيم,noun,تقدير, تحليل, تخمين
يهتم القطاع المالي بالحفاظ على سلامة المعلومات المالية والشخصية للعملاء,سلامة ,سلم,noun,امن,سرية,حماية
توفر البنوك الضمان المالي  لعملاءها لحماية أموالهم ,الضمان ,ضمن,adj,التأمين,الحماية,الكفالة
 ان دراسة وتحليل المؤشرات في النظام المالي يساهم بفهم الأسواق المالية ,المؤشرات ,أشر,noun,البيانات,المتغيرات,المعايير
تعاني الشركات حملا كبيرا بسبب تأثيرات الأزمة الاقتصادية العالمية,حملا ,حمل,noun,عبأ,ثقل,ضغط
يعد الدخل المكتسب من العوامل الأساسية في قياس مدى نجاح أي نظام اقتصادي,المكتسب ,كسب,adj,المتحصل,المنجز,المحقق
تعتمد العلاقات الاقتصادية على التفاهم المشترك والتعاون بين الأطراف المختلفة,الأطراف ,طرف,noun,الشركاء,مجموعات,الجهات
تعاني فلسطين من تحديات اقتصادية كبيرة، ومن بينها ضيق مالي ,ضيق ,ضيق,noun, ازمة,شدة, تقلبات 
لتنمية الاقتصاد وزيادة فرص النمو يجب حقن رأس المال من خلال استثمارات ومشاريع جديدة,حقن ,حقن,noun, ضخ,توفير, ادخال
يسمح بمرور البضائع والخدمات بين الدول من خلال اذن العبور ,العبور ,عبر,noun,الدخول,المرور, الاجتياز
لحجز أي منتج، يجب عليك أن تدفع مقدم وتسديد الباقي عند الاستلام,مقدم ,قدم,noun,عربون,دفعة,جزء 
الاداء المالي للشركة يعتبر مؤشرا حاسما لتقييم نجاحها وقدرتها على تحقيق الأرباح ,الاداء ,أدي,noun, النشاط ,التقرير,-
الاستقرار الاقتصادي يعتبر عاملا أساسيا في تحقيق استقرار الأوضاع المالية للدولة,الاستقرار ,قرر,noun,التوازن,الثبات,-
تم استخدام نموذج مالي للتحليل القيمة الحالية للمشروع وتحليل تأثيره على الأرباح ,نموذج ,نمذج,noun,نظام, اطار,قالب
يعتبر حبس راس المال ظاهرة اقتصادية تتمثل في تقييد الاستثمارات وتعرقل النمو الاقتصادي,حبس ,حبس,noun,حجز,تجميد,توقيف
يعتبر سند القبض هو ورقة أو مستند بين طرفين ,القبض ,قبض,noun,الاستلام,الدفع,التحصيل
تقدم البنوك الحكومية قروض مساعدة للمشاريع الصغيرة والمتوسطة بهدف تعزيز النمو الاقتصادي وتوفير فرص عمل جديدة,مساعدة ,سعد,adj, دعم,تمويل, إضافي
الاقتصادات الناشئة لن تستطيع تحمل اضطراب السوق,اضطراب ,ضرب,adj,اختلال,تقلب, ارتباك
 يعتبر حد الدخل المرتفع أيضاً عاملاً حاسماً في تحديد أسعار الفائدة على القروض,حد ,حدد,noun,مستوى,عتبة ,معدل
إن الشريحة الأدنى من الرواتب يجب أن تحظى بالاهتمام والدعم لتحقيق التوزيع العادل للدخل في المجتمع,الشريحة ,شرح,noun,الفئة, الطبقة,-
أن التقدير الموحد لتعويض النقدي عن الضرر البيئي يعتبر وسيلة ذات فائدة,لتعويض ,عوض,noun,لتأمين,لبدل,لدفع
التحكم المالي يعد أحد الأدوات الأساسية في الاقتصاد لتحقيق الاستقرار المالي والحد من التضخم,التحكم ,حكم,noun,السيطرة ,الإدارة, الضبط
تشهد الدولة تطور اقتصادي ملحوظ في السنوات الأخيرة بسبب الاستراتيجيات الجديدة,تطور ,طور,noun, نمو,تقدم, ازدهار 
تمت معالجة حساب العميل في القطاع المصرفي بنجاح وتم تحويل الأموال المطلوبة إلى حسابه,معالجة ,علج,noun,تسوية , تعديل,  تصليح
يحق للبنك دمج حسابات العميل المفتوحة في حساب واحد ,دمج ,دمج,adj,توحيد,جمع,ضم
سعر الفائدة الخالية من المخاطر يشير هذا المصطلح إلى العائد على الورقة المالية حيث يكون تحقيق الربح مضموناً.,الخالية ,خلو,adj,المضمونة,الآمنة,الصافي
قرار المنشأة بفتح مكتب تمثيل لها في الدولة متضمناً تحملها مسؤولية الأعمال التي يقوم بها المكتب,تمثيل ,مثل,adj, ممثل,فرعي, وكالة 
أن المستثمرين حول العالم سحبوا بالفعل 83 مليار دولار من الأسواق الصاعدة منذ بداية الأزمة، وهو أكبر تدفق رأسمالي خرج منها على الإطلاق,تدفق ,دفق,adj,نزوح, حركة,انتقال
يكتسب التاجر ملكية السمة التجارية بأسبقية الاستعمال,السمة ,سمو,noun,العلامة, الشعار, الماركة
يشير نمط الإنتاج إلى الطرق المختلفة التي يمكن من خلالها تنظيم النشاط الاقتصادي داخل مجتمع معين,نمط ,نمط,noun,أسلوب,نموذج,نهج
أزمة الكهرباء تؤدي إلى تقليص عرض السلع سريعة التلف,التلف,تلف,noun,الفساد,الهدر,ظ
