Sentence,Word,Lemma,Original PoS,Synonym_1,Synonym_2,Synonym_3
من كثرة التعذيب خرّ ميتاً,خرّ ,خرر,verb,سقط, تداعى, تهدّم
اشتهر السفسطائيون بالإفك,بالإفك,أفك,noun,بالكذب,بالافتراء,بالباطل
في الشتاء يحل الليل ويبزغ القمر مبكراً,ويبزغ ,بزغ,verb,يطلع,ينبثق,يسطع
آزرته القراءة وقت الشدائد,آزرته ,أزر,verb,ساعدته, عاونته, ناصّرته
لم يخنهم لأن هناك حبلاً بينه وبينهم,حبلاً ,حبل,noun,عهداً, اتفاقاً, عقداً
حرّف الوقائع لصالحه,حرّف ,حرف,verb,زوّر, غيّر, زيّف
الكريم من لا ينتهك خفارة أحد,خفارة ,خفر,noun,عهد, أمان, ذمة
لم يهتموا برأيه لأنه من السوقة,السوقة,سوق,noun,العامة, الرعاع, الأوباش
فينسخ الله ما يلقي الشيطان,فينسخ ,نسخ,verb,فيزيل,يبطل,يبدل
سار حامل البيرق أمام المتظاهرين,البيرق ,بيرق,noun,الراية, العلم, الشعار
تبحرت الإمبراطورية الإسلامية أيام الخلافة الأموية,تبحرت ,بحر,verb,توسعت, امتدت, انبسطت
صيّرته المصائب مهيض الجناح,مهيض ,هيض,adj,ضعيف, عاجز, واهن
خرعت الإمبراطورية الرومانية بسبب حملات التبشير,خرعت ,خرع,verb,ضعفت, لانت, استرخت
لم يدر في خلده ذلك الأمر,خلده ,خلد,noun,باله,ذهنه, خاطره
خشيوا أن تصيبهم دائرة,دائرة,دور,noun, مصيبة, كارثة,نائبة
يقذف بالحق على الباطل فيدمغه,فيدمغه,دمغ,verb,فيدحضه,فيطمسه,فيبطله
تحلت المرأة يوم زفافها,تحلت ,حلو,verb,تزّينت, تجمّلت, تبرّجت
أترحه بأخبار السوء,أترحه ,ترح,verb,اوجعه,اتعبه,أحزنه
ثمود الذين جابوا الصّخر بالواد,جابوا ,جوب,verb, ثقبوا,خرقوا, نقبوا
جار عن هدف الرحلة الأساسي بسبب المغريات,جار ,جور,verb, ضل,ابتعد,انحرف
الصديق من يأسو جراح صديقه,يأسو ,أسو,verb,يداوي,يعالج,يضمد
والصبح إذا أسفر,أسفر,سفر,verb, طلع, أشرق,لاح
يأكلنّ ما قدمتم لهنّ إلا قليلاً مما تحصنون,تحصنون,حصن,verb,تدخرون,تحفظون,تحزرون
أوصد على عياله بالمصروف,أوصد ,وصد,verb, ضيّق,بخل, قتّر
غال اللص مالاً,غال ,غيل,verb,سرق, نشل, أخذ
لم يجد من يسامره فاستعرض ذكرياته,فاستعرض ,عرض,verb,فاستعاد,فتذكر, فتفحص
وإننا لفي شك مما تدعونا إليه مريب,مريب,ريب,adj, غريب,مشبوه, محيّر
بعد سنين من الممارسة أرب في مهنة التجارة,أرب ,أرب,verb,أبدع, تفوق,نجح
في مثل هذا اليوم الأغر استطاع صلاح الدين أن ينتصر على الصليبين,الأغر ,غرر,adj,العظيم,المشهود, الشهير
لا أقتر الله رزقك,أقتر ,قتر,verb,قلل,أضعف, خفّض
أوعب الرجل في ماله,أوعب ,وعب,verb,أسرف, بذّر, بذخ
الأقوياء هم الصابرون في البأساء,البأساء,بأس,noun,الضراء, المشقة, المصيبة
قال ما أظن أن تبيد هذه أبداً,تبيد ,بيد,verb,تهلك, تفني, تتلف
أهمل الفلاح أرضه فبارت,فبارت,بور,verb,فيبست, فأجدبت, فأقفرت
بارح بلده للعمل في بلد آخر,بارح ,برح,verb,ترك,هجر, غادر
باسل عدواً قوياً وتغلب عليه,باسل ,بسل,verb,حارب, قاتل, بارز
في الحروب يباهي الأغنياء بعضهم بثرواتهم,يباهي ,بهو,verb,يتباهى,يتفاخر,يفاخر
بثت الرياح التراب,بثت ,بثث,verb,نشرت, نثرت, فرّقت
تاقت عيناها بالدمع حين مات ابنها,تاقت ,توق,verb,فاضت, انهمرت, ذرفت
التجار لا يقلعون عن الاهتبال,الاهتبال,هبل,noun,الكذب, الغش, الخداع
بضع الطبيب الجلد لإجراء العملية الجراحية,بضع ,بضع,verb, فتح,شقّ, ثقب
بلبل الخطيب أفكار الجمهور,بلبل ,بلبل,verb,شوّش, شتّت, أفسد
لا بدَ من تثمير طاقات الشَّباب في الأعمال البنَاءة,تثمير ,ثمر,noun, استغلال,استعمال,توظيف
الشديد من يتجلّد وقت المصائب,يتجلّد ,جلد,verb,يصبر, يتحمل, يقاوم
تحجّر قلبه نتيجة المصائب التي حلّت به,تحجّر,حجر,verb,قسا, تجمد,تيبس
تحدّر السيل من أعالي الجبال,تحدّر ,حدر,verb,سال,نزل, هبط
الشحاذون يتحننون إلى الناس في الشوارع,يتحننون ,حنن,verb,يتوسلون,يتضرعون,يرتجون
يترسّم الولد خطى أبيه,يترسّم ,رسم,verb,يتبع,يخط,يحذو
حد رجال الامن الفوضى,حد ,حدد,verb,قيد , حصر ,نهى
احتوت الاتفاقية على العديد من البنود,البنود,بند,noun,النقاط , المواد, العناصر
في الجاهلية كان إعتاق العبد صعب,إعتاق ,عتق,noun, تحرير ,اطلاق , فك
نشأ في بحبوحة من العيش وهناءة,بحبوحة ,بحبح,noun, غنى , رفاهية , ترف 
ترك حيزا كبيرا,حيزا ,حيز,noun,فراغاً, مكاناً ,مساحة
ساعده على تنقيح إنشائه,تنقيح ,نقح,noun, تعديل, تحسين , تطوير
النحاس معدن لدن يسهل تغيير شكله,لدن ,لدن,adj, لين ,مرن ,طري
المهندس نافذ في الرسم ,نافذ ,نفذ,adj,متقن,مبدع,متميز
